ID admis;Název projektu;druh stavby;podkategorie;dopravní zatížení;spolufinancování;dopravní význam;technický stav;stavební stav;životní prostředí;regionální význam;jediná přístupová cesta;stav přípravy;hromadná doprava;nehodová lokalita;Výsledné hodnocení;Hodnocení s korekcí;Předpokládané náklady KSÚS (s DPH);Předpokládaný zdroj spolufinancování;Poznámky;29 258 546 445.85;Prosím opravit a zapsat do sloupce R (starý předpokládaný zdroj spolufinancování);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;Jižní paralelní komunikace Beroun I. etapa;novostavba (obchvat, přeložka, propojka);-;4;10;10;0;0;10;7;0;5;0;0;39.8;76.5;150 000 000.00;;Realizace nutná společně s 276-002 (prozatím nevydáno SP, na 276-001 ano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;BESIP-III/27944 Žerčice, úprava vjezdu do obce;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;3;0;7;3;2;10;7;0;10;10;2;30.7;43.2;3 473 616.49;;;;SFDI (chybějící SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;Černuc - obchvat;novostavba (obchvat, přeložka, propojka);-;3;10;10;0;0;10;4;0;2;0;0;33.1;63.7;55 000 000.00;;;;SFDI NZ 2022 - tendrovat, rezerva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;Drahelčice, ulice Polní;oprava a rekonstrukce;Rekonstrukce;1;10;5;6;10;1;2;10;8;0;0;34.7;54.2;13 006 236.00;;;;účelová dotace SFDI (MLADOBOLESLAVSKO);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;Hostivice – rekonstrukce silnice III/0064, ul. Litovická;oprava a rekonstrukce;Rekonstrukce;1;10;5;3;10;10;2;0;0;10;7;29.5;46.1;29 782 739.14;;Zatím není rozpočet- projekční odhad;;SFDI (chybějící SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;Hřebeč, centrální křižovatka;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;1;10;7;6;6;0;4;0;10;10;10;49.5;69.7;3 546 962.07;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;Chrášťany, přeložka II. etapa;novostavba (obchvat, přeložka, propojka);-;8;10;10;0;0;10;4;0;2;0;0;36.6;70.4;130 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/ 329 Pečky, úprava křižovatky;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;3;10;10;6;3;0;10;0;2;0;10;47.8;67.3;2 800 000.00;;;;SFDI NZ 2022 - tendrovat, rezerva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;II/101 Brandýs nad Labem, přeložka - I. etapa 2. část;novostavba (obchvat, přeložka, propojka);-;8;10;10;0;0;10;7;0;5;0;0;42.6;81.9;300 000 000.00;-;;;SFDI NZ 2022 - tendrovat (vytendrován zhotovitel i TDS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;II/101 Brandýs nad Labem, přeložka - II.etapa;novostavba (obchvat, přeložka, propojka);-;7;9;10;0;0;10;7;0;5;0;0;41.1;79.0;200 000 000.00;-;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Břežanské údolí, sanace skalního svahu;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;5;10;10;10;10;0;10;0;5;0;7;60;84.5;26 341 700.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;II/101 Dolní Břežany – Zbraslav;oprava a rekonstrukce;Rekonstrukce;6;10;10;6;10;10;10;0;5;10;7;49.4;77.2;200 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Drahelčice obchvat, připojení ze sjezdu z D5;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;10;10;0;5;0;0;43.5;83.7;240 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;II/101 Chlumín, most ev.č. 101-064 za obcí Chlumín ;mostní objekty a propustky;Most;3;0;10;3;6;0;10;0;5;10;0;28.6;59.6;16 460 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Jirny, most ev.č. 101-076 most přes Jirenský potok za obcí Jirny;mostní objekty a propustky;Most;7;10;8;10;10;0;7;0;2;10;0;31.1;64.8;10 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;II/101 Kostelec nad Labem,  most ev.č.  101-072 přes potok v obci Kostelec nad Labem;mostní objekty a propustky;Most;5;0;10;3;6;0;10;0;8;10;0;31.8;66.3;12 800 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;II/101 Kostelec nad Labem, most ev.č. 101-071 přes potok v Kostelci nad Labem;mostní objekty a propustky;Most;5;10;10;10;10;0;10;0;10;10;0;42.5;88.5;10 400 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Kováry - Zákolany a III/00710 Lichoceves, úprava podjezdů;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;3;10;10;6;6;0;2;0;2;0;0;32.8;46.2;25 000 000.00;;;;SFDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Kralupy nad Vltavou (MERO) – křiž. II/608;oprava a rekonstrukce;Souvislá údržba;5;0;10;6;10;1;4;0;10;10;2;39.9;62.3;17 585 340.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Kralupy nad Vltavou, most ev.č. 101-055 přes potok v Kralupech nad Vltavou;mostní objekty a propustky;Most;5;10;10;6;6;10;10;0;10;10;0;38.1;79.4;14 700 000.00;;;;SFDI NZ 2022 - tendrovat (bude vypsán nový tendr);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Kralupy nad Vltavou, ul. 28. října;oprava a rekonstrukce;Souvislá údržba;3;0;10;6;6;10;7;0;10;10;2;39.3;61.4;2 535 268.11;;;;účelová dotace SFDI (MLADOBOLESLAVSKO);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;II/101 Mstětice - Jirny - Úvaly;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;10;7;0;2;0;0;37.5;72.1;466 500 000.00;-;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Třebotov - Rudná, rekonstrukce II. Etapa;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;10;10;4;0;5;10;0;37.5;58.6;30 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Úvaly - Říčany;novostavba (obchvat, přeložka, propojka);-;4;10;10;0;0;10;4;0;5;0;0;36.8;70.8;1 000 000 000.00;SFDI – UD – účelová dotace;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 Veltrusy;oprava a rekonstrukce;Souvislá údržba;3;0;10;6;6;10;7;0;10;10;2;39.3;61.4;19 099 879.52;;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/101 x III/33312 Okružní křižovatka, Říčany;oprava a rekonstrukce;Rekonstrukce;10;10;9;3;3;10;10;0;0;10;2;36.6;57.2;25 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/102 Davle;oprava a rekonstrukce;Rekonstrukce;6;10;10;6;10;10;10;0;10;10;10;55;85.9;32 483 662.56;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/102 Velká - Kamýk nad Vltavou a III/11817 Velká;oprava a rekonstrukce;Souvislá údržba;3;10;10;10;6;0;7;0;10;10;4;45.9;71.7;18 637 835.00;;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;II/105 Kamenný Přívoz mosty ev.č. 105-008 a 105-009;mostní objekty a propustky;Most;4;10;10;6;6;1;7;0;2;10;0;27;56.3;127 050 000.00;;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/105 Kamenný Přívoz, opěrná zeď-PD;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;1;10;9;6;6;0;4;0;5;10;0;35.9;50.6;33 000 000.00;;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/105 Neveklov;oprava a rekonstrukce;Souvislá údržba;4;10;10;10;10;0;7;0;10;10;4;50.6;79.1;12 505 880.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/105 od.kř. III/10529 Bratřejov - kř. MK Žemličkova Lhota;oprava a rekonstrukce;Rekonstrukce;3;0;10;10;10;10;10;0;5;10;2;44.5;69.5;33 695 596.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/105 Osečany, most ev.č. 105-025;mostní objekty a propustky;Most;3;0;10;6;6;0;10;0;5;10;0;28.9;60.2;10 000 000.00;;Předpokládaný termmín realizace 06/2023-06/2025;;SFDI ( Nymburk);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/105 Velběhy - Spolí;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;3;10;4;0;8;10;2;33.9;53.0;30 000 000.00;;Realizace nutná společně s 276-001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/106 Krňany ;oprava a rekonstrukce;Rekonstrukce;2;10;9;6;6;1;7;0;10;10;4;42;65.6;;;Předpokládaný termmín realizace 06/2023-06/2025, přesun stromů v období vegetačního klidu;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/106 Krňany, obchvat;novostavba (obchvat, přeložka, propojka);-;3;10;10;0;0;10;4;0;2;0;0;33.1;63.7;71 750 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;II/106 přeložka k sjezdu z D3 u Hostěradic - PD;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;1;2;0;2;0;0;26.2;50.4;78 512 000.00;;Komplikace se smlouvou na překládku ČEZ (nereaguje);;SFDI (chybějící SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;II/106 Týnec nad Sázavou - Benešov - PD;oprava a rekonstrukce;Rekonstrukce;5;10;10;3;10;1;4;0;2;0;2;29.5;46.1;50 000 000.00;-;;;SFDI NZ 2022 - tendrovat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;II/106, most ev.č. 106 – 001 Štěchovice;mostní objekty a propustky;Most;5;10;10;6;6;10;10;10;10;10;0;43.1;89.8;140 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/107 Kamenice, II. etapa;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;6;10;7;0;5;10;4;39.7;62.0;69 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/107 Všechromy - rekonstrukce silnice a okružních křižovatek;oprava a rekonstrukce;Rekonstrukce;7;10;10;10;6;10;10;10;5;10;4;51.7;80.8;25 410 000.00;;;;SFDI NZ 2022 - tendrovat, rezerva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/107 Všechromy, okružní křižovatka;oprava a rekonstrukce;Rekonstrukce;7;10;10;3;6;10;10;0;5;10;2;42.7;66.7;35 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/108 Kostelec nad Černými lesy;oprava a rekonstrukce;Rekonstrukce;3;0;10;6;6;10;10;0;5;10;4;37.7;58.9;45 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/108 Kostelec nad Černými lesy - Stříbrná Skalice;oprava a rekonstrukce;Souvislá údržba;5;10;8;3;6;10;7;0;10;10;4;43.3;67.7;35 972 481.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/110 Benešov - Ostředek I.tepa;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;10;10;7;0;5;10;10;42.5;66.4;160 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/110 Benešov - Ostředek II.tepa;oprava a rekonstrukce;Rekonstrukce;4;10;10;3;10;10;7;0;5;10;4;42;65.6;45 000 000.00;;;;SFDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/110 Ostředek - Sázava etapa 1;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;2;1;4;10;5;0;4;26.5;41.4;132 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/110 Ostředek - Sázava etapa 2;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;10;1;4;10;2;0;10;32.7;51.1;140 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/110 Ostředek - Sázava etapa 3;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;6;1;4;10;2;0;0;26.7;41.7;61 000 000.00;;Předpokládaný termmín realizace 03/2024-12/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/111 Bystřice – křižovatka s III/11112;oprava a rekonstrukce;Rekonstrukce;2;10;10;3;3;10;4;0;8;10;4;33.6;52.5;96 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/111 Český Šternberk, most ev.č. 111-010 přes Sázavu v Českém Šternberku;mostní objekty a propustky;Most;3;10;10;10;6;10;10;10;8;10;0;41.3;86.0;140 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;II/111 Divišov obchvat, PD;novostavba (obchvat, přeložka, propojka);-;4;10;10;0;0;10;4;0;2;0;0;33.8;65.0;335 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/111 křižovatka s III/11112 - křižovatka s II/112;oprava a rekonstrukce;Rekonstrukce;3;10;9;3;10;1;4;0;10;10;0;40.5;63.3;50 000 000.00;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;II/111 Líšno, most ev.č. 111-003 ;mostní objekty a propustky;Most;3;10;9;6;6;10;4;0;8;10;2;29.6;61.7;12 000 000.00;;Předpoklad realizace nejdříve 2023;;SFDI (chybějící SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;II/111 Nechyba I - Český Šternberk;oprava a rekonstrukce;Rekonstrukce;3;10;10;6;6;10;10;0;10;10;7;48.3;75.5;167 447 921.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;II/111 Struhařov - Divišov;oprava a rekonstrukce;Rekonstrukce;4;10;10;10;10;10;7;0;2;10;10;45.8;71.6;159 720 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;II/111 Šternov - Český Šternbek;oprava a rekonstrukce;Rekonstrukce;3;0;10;10;10;10;7;0;2;10;10;40.1;62.7;70 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;II/112 Struhařov, okružní křižovatka a silnice, II. etapa (okružní křižovatka);řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;6;10;10;6;10;0;7;0;8;0;10;59.6;83.9;30 000 000.00;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;II/113 Bílkovice, most ev. č. 113-015;mostní objekty a propustky;Most;4;0;10;3;6;0;10;0;5;10;0;28.7;59.8;25 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/113 Český Brod, Jana Kouly , OK;oprava a rekonstrukce;Rekonstrukce;5;10;10;6;3;10;7;0;8;10;4;41.1;64.2;15 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/113 Divišov - Vlašim;oprava a rekonstrukce;Rekonstrukce;4;10;10;6;6;10;7;0;10;10;10;46.6;72.8;163 700 423.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/113 Doubravčice - Štihlice;oprava a rekonstrukce;Souvislá údržba;3;0;10;6;6;10;7;0;5;10;4;34.7;54.2;10 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/113 Ostředek - Třemošnice - PD;oprava a rekonstrukce;Rekonstrukce;3;8;10;6;6;10;7;0;10;10;4;43.7;68.3;42 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/113 Třemošnice - Divišov;oprava a rekonstrukce;Souvislá údržba;2;10;8;10;6;0;4;0;10;0;10;38;59.4;19 936 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;II/114  Dobříš,  most ev.č. 114-017;mostní objekty a propustky;Most;7;10;10;10;10;10;10;0;8;10;0;40.7;84.8;25 000 000.00;;Předpoklad SFDI nebo IROP dle možností v době dokončení;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;II/114 - II/117 Hořovice, východní obchvat, PD;novostavba (obchvat, přeložka, propojka);-;5;10;10;0;0;10;7;0;8;0;0;43.5;83.7;235 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;II/114 Dobříš, kom. a opěrné zdi na hrázi rybníka Koryto ;oprava a rekonstrukce;Rekonstrukce;5;10;10;6;6;10;7;0;2;10;4;38.1;59.5;45 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;II/115 Praha - Lety, rekonstrukce;oprava a rekonstrukce;Rekonstrukce;7;10;10;6;10;10;10;0;5;10;10;50.7;79.2;54 999 999.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;II/115 Řevnice - Vižina, rekonstrukce I. Etapa 2. část.  - PD;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;6;10;4;0;5;10;0;33.5;52.3;50 000 000.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;II/115 Řevnice - Vižina, rekonstrukce II. etapa - PD;oprava a rekonstrukce;Rekonstrukce;3;10;10;3;6;10;4;0;8;10;0;36.5;57.0;81 648 427.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
